"customerid","recency","frequency","monetory","r_score","f_score","m_score","customer_segment"
14646,2.0,73,280206.02,5,5,5,Champions
18102,1.0,60,259657.3,5,5,5,Champions
17450,9.0,46,194550.79,5,5,5,Champions
16446,1.0,2,168472.5,5,3,5,Potential Loyalists
14911,2.0,201,143825.06,5,5,5,Champions
12415,25.0,21,124914.53,4,5,5,Champions
14156,10.0,55,117379.63,5,5,5,Champions
17511,3.0,31,91062.38,5,5,5,Champions
16029,39.0,63,81024.84,3,5,5,Loyal Customers
12346,326.0,1,77183.6,1,2,5,Lost Customers
16684,5.0,28,66653.56,5,5,5,Champions
14096,5.0,17,65164.79,5,5,5,Champions
13694,4.0,50,65039.62,5,5,5,Champions
15311,1.0,91,60767.9,5,5,5,Champions
13089,3.0,97,58825.83,5,5,5,Champions
17949,2.0,45,58510.48,5,5,5,Champions
15769,8.0,26,56252.72,5,5,5,Champions
15061,4.0,48,54534.14,5,5,5,Champions
14298,9.0,44,51527.3,5,5,5,Champions
14088,11.0,13,50491.81,5,5,5,Champions
15749,236.0,3,44534.3,1,4,5,At Risk
12931,22.0,15,42055.96,4,5,5,Champions
17841,2.0,124,40991.57,5,5,5,Champions
15098,183.0,3,39916.5,1,4,5,At Risk
13798,2.0,57,37153.85,5,5,5,Champions
16013,4.0,47,37130.6,5,5,5,Champions
16422,18.0,51,34684.4,4,5,5,Champions
12748,1.0,209,33719.73,5,5,5,Champions
15838,12.0,19,33643.08,5,5,5,Champions
17404,5.0,15,31906.82,5,5,5,Champions
17389,1.0,34,31833.68,5,5,5,Champions
13098,2.0,28,28882.44,5,5,5,Champions
14680,26.0,16,28754.11,4,5,5,Champions
13081,12.0,11,28337.38,5,5,5,Champions
13408,2.0,62,28117.04,5,5,5,Champions
17857,5.0,23,26879.04,5,5,5,Champions
16333,8.0,22,26626.8,5,5,5,Champions
13777,1.0,33,25977.16,5,5,5,Champions
12753,23.0,6,21429.39,4,5,5,Champions
12744,52.0,7,21279.29,3,5,5,Loyal Customers
16210,2.0,18,21086.3,5,5,5,Champions
17675,2.0,31,20374.28,5,5,5,Champions
17381,9.0,29,20275.61,5,5,5,Champions
15039,10.0,47,19914.44,5,5,5,Champions
12471,3.0,30,19824.05,5,5,5,Champions
12731,24.0,12,18895.91,4,5,5,Champions
15159,2.0,30,18641.01,5,5,5,Champions
12901,9.0,28,17654.54,5,5,5,Champions
12678,43.0,12,17628.46,3,5,5,Loyal Customers
14031,8.0,19,17286.86,5,5,5,Champions
17428,1.0,28,17256.85,5,5,5,Champions
13767,3.0,37,17220.36,5,5,5,Champions
13881,4.0,20,17159.52,5,5,5,Champions
16839,9.0,34,16594.35,5,5,5,Champions
12921,10.0,37,16587.09,5,5,5,Champions
14607,16.0,14,16569.5,4,5,5,Champions
15856,5.0,27,16387.57,5,5,5,Champions
17677,2.0,30,16363.23,5,5,5,Champions
15189,2.0,41,16225.39,5,5,5,Champions
14051,1.0,23,15610.39,5,5,5,Champions
15513,34.0,19,14758.22,3,5,5,Loyal Customers
16133,4.0,33,14589.04,5,5,5,Champions
14866,11.0,12,14389.9,5,5,5,Champions
16705,1.0,20,14034.99,5,5,5,Champions
12681,15.0,22,13787.54,4,5,5,Champions
12621,2.0,20,13689.67,5,5,5,Champions
12540,20.0,17,13400.24,4,5,5,Champions
12433,1.0,7,13375.87,5,5,5,Champions
15498,3.0,27,13316.4,5,5,5,Champions
12477,23.0,6,13219.74,4,5,5,Champions
17735,3.0,19,13110.02,5,5,5,Champions
16525,3.0,26,13027.45,5,5,5,Champions
14258,10.0,9,12669.98,5,5,5,Champions
13078,4.0,26,12627.94,5,5,5,Champions
12536,44.0,3,12601.83,3,4,5,Loyal Customers
15640,5.0,15,12515.66,5,5,5,Champions
16000,3.0,3,12393.7,5,4,5,Champions
17340,30.0,11,12353.29,4,5,5,Champions
12682,4.0,31,12288.22,5,5,5,Champions
13113,1.0,24,12245.96,5,5,5,Champions
14606,2.0,93,12156.65,5,5,5,Champions
12557,17.0,5,11990.960000000001,4,4,5,Champions
12939,65.0,8,11581.8,3,5,5,Loyal Customers
15125,26.0,15,11528.48,4,5,5,Champions
14194,5.0,21,11349.52,5,5,5,Champions
12971,4.0,86,11189.91,5,5,5,Champions
14895,8.0,20,11138.71,5,5,5,Champions
12409,79.0,3,11072.67,2,4,5,At Risk
15482,16.0,12,11054.96,4,5,5,Champions
17581,1.0,25,11045.039999999999,5,5,5,Champions
13319,6.0,26,10845.55,5,5,5,Champions
17107,34.0,6,10815.43,3,5,5,Loyal Customers
13340,46.0,7,10736.48,3,5,5,Loyal Customers
14769,3.0,8,10674.75,5,5,5,Champions
17139,16.0,12,10668.47,4,5,5,Champions
16779,3.0,22,10629.72,5,5,5,Champions
17865,31.0,20,10526.32,4,5,5,Champions
17706,5.0,17,10504.49,5,5,5,Champions
15251,10.0,11,10484.99,5,5,5,Champions
14062,10.0,12,10464.85,5,5,5,Champions
15615,11.0,23,10399.74,5,5,5,Champions
15502,16.0,12,10384.93,4,5,5,Champions
16180,101.0,8,10254.18,2,5,5,At Risk
16843,43.0,16,10196.57,3,5,5,Loyal Customers
12590,212.0,2,9864.26,1,3,5,At Risk
13001,5.0,13,9818.82,5,5,5,Champions
13199,4.0,38,9817.12,5,5,5,Champions
15078,8.0,32,9743.11,5,5,5,Champions
12709,16.0,15,9736.52,4,5,5,Champions
13458,8.0,14,9646.57,5,5,5,Champions
14733,17.0,12,9585.91,4,5,5,Champions
16523,2.0,21,9418.47,5,5,5,Champions
12567,23.0,10,9401.28,4,5,5,Champions
14367,9.0,16,9261.52,5,5,5,Champions
14667,11.0,25,9241.2,5,5,5,Champions
18092,3.0,11,9068.26,5,5,5,Champions
13969,8.0,18,9053.94,5,5,5,Champions
12451,11.0,5,9035.52,5,4,5,Champions
13488,18.0,13,8968.31,4,5,5,Champions
13090,9.0,14,8910.82,5,5,5,Champions
16033,6.0,20,8816.4,5,5,5,Champions
17017,3.0,20,8694.26,5,5,5,Champions
17243,2.0,26,8676.85,5,5,5,Champions
17306,11.0,19,8631.31,5,5,5,Champions
16656,23.0,15,8625.8,4,5,5,Champions
14527,3.0,55,8508.82,5,5,5,Champions
12683,5.0,15,8476.57,5,5,5,Champions
18139,18.0,6,8438.34,4,5,5,Champions
15358,5.0,22,8347.2,5,5,5,Champions
16558,1.0,20,8338.49,5,5,5,Champions
14056,2.0,23,8214.65,5,5,5,Champions
14936,34.0,8,8137.0199999999995,3,5,5,Loyal Customers
16672,3.0,20,8134.94,5,5,5,Champions
13854,9.0,25,8109.5199999999995,5,5,5,Champions
14952,60.0,11,8099.49,3,5,5,Loyal Customers
18109,2.0,26,8052.97,5,5,5,Champions
14796,2.0,17,8022.49,5,5,5,Champions
12428,26.0,9,7956.46,4,5,5,Champions
15290,5.0,18,7943.22,5,5,5,Champions
14849,22.0,25,7930.54,4,5,5,Champions
12757,16.0,13,7857.1,4,5,5,Champions
17811,5.0,39,7837.73,5,5,5,Champions
13093,276.0,8,7832.47,1,5,5,At Risk
12435,80.0,2,7829.889999999999,2,3,5,At Risk
13629,24.0,11,7792.36,4,5,5,Champions
15044,20.0,17,7700.2300000000005,4,5,5,Champions
15194,4.0,15,7616.53,5,5,5,Champions
18172,15.0,20,7561.68,4,5,5,Champions
13263,2.0,35,7454.07,5,5,5,Champions
12474,18.0,18,7375.79,4,5,5,Champions
12980,158.0,9,7374.9,2,5,5,At Risk
15465,20.0,18,7354.62,4,5,5,Champions
17396,40.0,8,7330.8,3,5,5,Loyal Customers
12583,3.0,15,7281.38,5,5,5,Champions
13018,17.0,28,7277.7,4,5,5,Champions
18229,12.0,20,7276.9,5,5,5,Champions
16923,13.0,19,7247.61,5,5,5,Champions
16729,39.0,21,7239.92,3,5,5,Loyal Customers
16745,87.0,17,7194.3,2,5,5,At Risk
